Attorney Name,Number of Cases,Guilty,Not Guilty,Dismissed,Other,Success Rate
JOHN T. MARTIN,3,7,0,7,6,35.00%
JAMES S JONES,5,11,0,14,9,41.18%
TODD W NEWKIRK,1,0,0,1,1,50.00%
JAMES R WILLIS,4,8,0,3,6,17.65%
DAVID N PATTERSON,2,2,0,1,3,16.67%
MICHAEL  HUSTICK,1,1,0,4,2,57.14%
LAWRENCE R. ACTON,1,2,0,2,2,33.33%
NICHOLAS R. OLESKI,1,2,0,2,2,33.33%
"PATRICK P LENEGHAN, JR.",1,2,0,2,2,33.33%
THOMAS J KRAUS,2,1,0,2,6,22.22%
LOUIS E. GRUBE,2,7,0,0,2,0.00%
MICHAEL A KENNY,2,7,0,1,5,7.69%
ANDREW J WIDES,1,1,0,0,1,0.00%
KIRK A MCVAY,2,9,1,0,2,8.33%
MARIA  ROMITO,5,7,0,14,5,53.85%
ANTHONY J BONDRA,6,9,0,1,18,3.57%
KELLEY R. TAURING,1,0,0,5,1,83.33%
JOHN L LEMIEUX,2,1,0,0,3,0.00%
MALCOLM S DOUGLAS,1,2,0,2,2,33.33%
TIMOTHY F SWEENEY,1,2,0,0,1,0.00%
MICHAEL A HELLER,1,2,0,2,1,40.00%
ANTHONY D JORDAN,3,18,0,9,6,27.27%
WILLIAM D. MASON,1,0,0,0,10,0.00%
PAUL B DAIKER,3,1,0,2,7,20.00%
JOHN D ZALIC,1,0,0,1,1,50.00%
KENDRA  DAVITT,1,0,0,0,1,0.00%
WALTER A LUCAS,1,1,0,0,1,0.00%
ANGELA THI BENNETT,1,0,0,1,1,50.00%
FAITH  EDWARDS,1,2,0,8,1,72.73%
ANDREW  ORTNER,1,1,0,0,3,0.00%
HEATHER  MCCOLLOUGH,3,0,0,0,16,0.00%
MICHAELLA  POLVERINI,3,5,0,3,4,25.00%
JENNIFER L GRAY,5,0,0,2,19,9.52%
SHARLENE A RAMSEY,3,0,0,0,9,0.00%
JAMES D INGALLS,1,0,0,0,4,0.00%
JED  CHEDID,1,2,0,5,3,50.00%
IMOKHAI  OKOLO,1,2,0,2,1,40.00%
BRIAN A COOK,1,0,0,0,5,0.00%
THEODORE  AMATA,4,3,0,6,29,15.79%
ADHAM  ZAYED,3,1,0,0,8,0.00%
ERIC J MOORE,1,0,0,0,4,0.00%
GILBERT W R RUCKER,1,2,0,0,1,0.00%
DEAN E DEPIERO,1,0,0,0,2,0.00%
"JIMMIE  MACK, JR.",1,3,0,3,1,42.86%
MARK S. BENNETT,1,1,0,1,2,25.00%
CHARLES  TYLER,1,0,0,0,2,0.00%
TINA R HADDAD,1,0,0,0,4,0.00%
ERIC W DYSERT,1,0,0,0,3,0.00%
ERIN E. HANSON,1,2,0,0,1,0.00%
KIRSTYN ESTELLE FRANK,1,1,0,0,2,0.00%
PAUL  KELLEY,1,0,0,0,9,0.00%
WILLIAM D KILLMEYER,4,0,0,0,28,0.00%
ALONDA ANN BUSH,1,2,0,0,2,0.00%
STOURTON SCOTT SMITH,1,1,0,0,1,0.00%
SHANNON D. PARKER,1,0,0,0,3,0.00%
JUSTIN  MACKIN,1,0,0,0,5,0.00%
JOHN FARLEY HIRSCHAUER,2,2,0,5,3,50.00%
ABBY L BOTNICK,1,0,0,0,2,0.00%
LUCAS D. TROTT,1,0,0,0,5,0.00%
GREGORY T STRALKA,1,3,0,2,1,33.33%
FRED P RAMOS,1,0,0,0,4,0.00%
KENNETH ALLEN NELSON II,1,1,0,0,1,0.00%
EDWARD R FADEL,2,0,0,0,13,0.00%
RETANIO AJ RUCKER,1,0,0,0,3,0.00%
SEANNA M. CONWAY,1,0,0,0,11,0.00%
MICHAEL D DOYLE,1,0,0,0,5,0.00%
JOHN W GREVEN,1,0,0,0,3,0.00%
BRENT L. ENGLISH,1,0,0,0,4,0.00%
JULIE A. TOTH,1,1,0,2,1,50.00%
JAMES P MCGOWAN,1,0,0,0,2,0.00%
JASMINE L JACKSON,1,0,0,7,1,87.50%
RAYMOND R FROELICH,1,0,0,0,16,0.00%
RICARDO A. VIDAL,1,0,0,0,17,0.00%
JOSEPH J JACOBS,2,0,0,0,7,0.00%
"TOSSIE  WILEY, JR.",1,0,0,0,3,0.00%
JOHN T. FORRISTAL,1,0,0,0,7,0.00%
NICOLE C LONGINO,1,0,0,0,4,0.00%
JAMES MICHAEL KENNEY-PRENTISS,1,0,0,0,2,0.00%
SEAN  BURKE,1,0,0,0,2,0.00%
BRENT A URANKAR,1,1,0,0,2,0.00%
